rank,address,metro,metro_time,price,area,price_per_sqm,cafe_count,avg_check,univ_count,it_count,attractor,towers_nearby,score
1,"Пятницкая ул., 37",Третьяковская,до 5 мин.,60000,60.0,1000,10,346,16,25,98,17,90.8
2,"Арбатский пер., 2/6",Арбатская,до 5 мин.,10000,50.0,200,10,336,14,24,90,15,89.0
3,"Большая Садовая ул., 5к1",Маяковская,до 5 мин.,200000,58.0,3448,10,333,5,30,75,25,86.3
4,"Новослободская ул., 20",Менделеевская,до 5 мин.,25000,11.3,2212,10,349,16,30,108,11,86.2
5,"Зубовский б-р, 4с1",Парк культуры,до 5 мин.,71000,30.9,2298,10,352,13,23,85,13,86.1
6,"Хоромный тупик, 2/6",Красные ворота,до 5 мин.,48000,26.0,1846,10,346,12,26,88,10,85.9
7,"Аптекарский пер., 1",Бауманская,6–10 мин.,64900,55.0,1180,10,308,9,26,79,21,84.9
8,"1-й Хвостов пер., 3Ас2",Полянка,до 5 мин.,265000,46.0,5761,10,324,6,22,62,33,84.0
9,"1-й Хвостов пер., 3Ас2",Полянка,до 5 мин.,265000,46.0,5761,10,324,6,22,62,33,84.0
10,"Калашный пер., 5",Арбатская,до 5 мин.,100000,16.0,6250,10,336,19,25,107,15,83.0
